study_id,effect_id,outcome,model_ate,human_ate,treatment_family,outcome_family,target_population,synthetic_target_population,population_type,is_general_us_adult,is_specialized_population,study_weights_available,profile_variables_available,population_matching_method,profile_fields_available,weights_used,num_profiles,f_model_id,f_prompt_protocol_id,f_inference_config_hash,f_r_f,external_f_population_panel_version,external_f_population_panel_sha256,synthetic_prediction_status,requires_synthetic_regeneration,treatment_type,randomized_between_subjects,materials_available,outcome_type,outcome_min,outcome_max,outcome_range,finite_range,main_effect_compatible,human_ate_native,synthetic_ate_native,included_primary_calibration,included_secondary_sensitivity,exclusion_reason
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,blue_collar_positivity,-1.1249999999999982,-3.806216931216999,,attitude,AnsonBRIEF60 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),AnsonBRIEF60 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,attitude,1.0,5.0,4.0,True,True,-0.15224867724867996,-0.04499999999999993,True,False,
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,economy_positivity,20.833333333333492,0.2996031746032468,,attitude,AnsonBRIEF60 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),AnsonBRIEF60 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,attitude,1.0,5.0,4.0,True,True,0.011984126984129873,0.8333333333333397,True,False,
Blair1131,Blair1131:Approve_Handling:hyp1,Approve_Handling [hyp1],2.208333333333337,-3.1746031746031855,,attitude,Blair1131 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),Blair1131 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,attitude,1.0,7.0,6.0,True,True,-0.19047619047619113,0.13250000000000028,True,False,
Blair1131,Blair1131:Approve_Handling:hyp2,Approve_Handling [hyp2],1.5833333333333477,2.787226001511778,,attitude,Blair1131 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),Blair1131 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,attitude,1.0,7.0,6.0,True,True,0.16723356009070667,0.09500000000000064,True,False,
Braman751,Braman751:legitimacy:hyp1,legitimacy [hyp1],-6.534722222222166,4.0888503557992895,,attitude,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,attitude,1.0,7.0,6.0,True,True,0.24533102134795737,-0.39208333333333023,True,False,
Braman751,Braman751:legitimacy:hyp2,legitimacy [hyp2],-17.479166666666675,9.671230388483941,,attitude,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,attitude,1.0,7.0,6.0,True,True,0.5802738233090365,-1.0487500000000005,True,False,
Braman751,Braman751:pass_legislation:hyp1,pass_legislation,3.5800000000000445,4.400242939568855,,attitude,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,attitude,1.0,6.0,5.0,True,True,0.2200121469784424,0.17900000000000205,True,False,
Braman751,Braman751:scholar_credibility:hyp1,scholar_credibility [hyp1],5.416666666666781,3.7608225108223925,,binary_behavior,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,binary_behavior,1.0,2.0,1.0,True,True,0.037608225108223925,0.054166666666667806,True,False,
Braman751,Braman751:scholar_credibility:hyp2,scholar_credibility [hyp2],0.33333333333351867,8.059764309764294,,binary_behavior,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,binary_behavior,1.0,2.0,1.0,True,True,0.08059764309764295,0.0033333333333351867,True,False,
CalarcoS38,CalarcoS38:Approval:hyp1,Approval [hyp1],-83.0364583333334,52.23890532544375,,attitude,CalarcoS38 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),CalarcoS38 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,True,False,False,True,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,DEVELOPMENT_STALE_REQUIRES_REGENERATION_WITH_STUDY_SPECIFIC_F_PANEL,True,survey_experiment,True,True,attitude,1.0,5.0,4.0,True,True,2.08955621301775,-3.321458333333336,True,False,
