latent_profile_id,donor_id,gender,age,age_band,race,education,education_approximated,income,income_approximated,party,state_abbr,religion,political_ideology,ces_commonweight,population_seed
LP0001,1866892874,Male,24,18-29,White / Caucasian,Bachelor's degree,False,"$56,000 to $99,999",False,Independent,TN,Protestant,Moderate,11.5908128566172,20260831
LP0002,1868845320,Male,29,18-29,White / Caucasian,Some college or Associate's degree,False,"Less than $30,000",False,Democrat,IL,Nothing in particular,Very liberal,5.41045721236013,20260831
LP0003,1872505540,Male,24,18-29,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Independent,NJ,Roman Catholic,Very conservative,10.6282778342585,20260831
LP0004,1882434100,Male,25,18-29,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Republican,OH,Roman Catholic,Very conservative,10.8032619672302,20260831
LP0005,1882436838,Male,24,18-29,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Democrat,NY,Protestant,Moderate,13.3894605428213,20260831
LP0006,1882440362,Male,26,18-29,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Independent,MO,Nothing in particular,Conservative,13.7804942888017,20260831
LP0007,1882441218,Male,19,18-29,White / Caucasian,High school diploma / GED,False,"$100,000 to $167,999",False,Other,PA,Roman Catholic,Conservative,9.76778651206675,20260831
LP0008,1884590180,Male,18,18-29,White / Caucasian,High school diploma / GED,False,"$56,000 to $99,999",False,Democrat,FL,Atheist,Liberal,9.84024966370217,20260831
LP0009,1885056380,Male,23,18-29,White / Caucasian,High school diploma / GED,False,"$168,000 or more",True,Republican,FL,Mormon,Conservative,4.71750191072596,20260831
LP0010,1886162646,Male,26,18-29,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Republican,LA,Nothing in particular,Very conservative,0.318228268134463,20260831
LP0011,1886359394,Male,28,18-29,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Democrat,MA,Nothing in particular,Very liberal,2.67104047728028,20260831
LP0012,1886680966,Male,23,18-29,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Democrat,AR,Agnostic,Very liberal,13.0166060060432,20260831
LP0013,1886681886,Male,29,18-29,White / Caucasian,Some college or Associate's degree,False,"$100,000 to $167,999",False,Independent,RI,Roman Catholic,Moderate,5.36019005739021,20260831
LP0014,1886682386,Male,29,18-29,White / Caucasian,Bachelor's degree,False,"$30,000 to $55,999",False,Democrat,MT,Agnostic,Liberal,2.56949408007889,20260831
LP0015,1886684022,Male,26,18-29,White / Caucasian,Some college or Associate's degree,False,"Less than $30,000",False,Democrat,OK,Nothing in particular,Very liberal,4.01099425688946,20260831
LP0016,1886980568,Male,24,18-29,White / Caucasian,High school diploma / GED,False,"$30,000 to $55,999",False,Independent,GA,Something else,Moderate,9.74406903000917,20260831
LP0017,1888319216,Male,28,18-29,White / Caucasian,High school diploma / GED,False,"$30,000 to $55,999",True,Republican,MO,,Moderate,7.11150931924737,20260831
LP0018,1888329812,Male,24,18-29,White / Caucasian,Bachelor's degree,False,"$56,000 to $99,999",False,Democrat,DC,Protestant,Very liberal,0.442092429930465,20260831
LP0019,1888330162,Male,28,18-29,White / Caucasian,Bachelor's degree,False,"$30,000 to $55,999",True,Democrat,ME,Eastern or Greek Orthodox,Very liberal,0.414187586090046,20260831
LP0020,1888338456,Male,28,18-29,White / Caucasian,Some college or Associate's degree,False,"$30,000 to $55,999",False,Independent,UT,Mormon,Moderate,1.22525852445387,20260831
LP0021,1888368132,Male,23,18-29,White / Caucasian,Some college or Associate's degree,False,"$100,000 to $167,999",False,Democrat,NC,Nothing in particular,Liberal,9.51192236475833,20260831
LP0022,1888480604,Male,27,18-29,White / Caucasian,Master's degree / Professional degree,True,"$56,000 to $99,999",False,Democrat,PA,Agnostic,Very liberal,0.866709618739437,20260831
LP0023,1888546840,Male,28,18-29,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Other,TN,Nothing in particular,Very liberal,11.8242513410514,20260831
LP0024,1890197464,Male,29,18-29,White / Caucasian,Bachelor's degree,False,"$56,000 to $99,999",False,Democrat,CO,Atheist,Liberal,4.23474882998127,20260831
LP0025,1890210130,Male,25,18-29,White / Caucasian,Master's degree / Professional degree,True,"$168,000 or more",True,Republican,RI,Jewish,Conservative,0.481284249621482,20260831
LP0026,1891565814,Male,20,18-29,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Democrat,NY,Atheist,Very liberal,1.44812380533784,20260831
LP0027,1892054478,Male,26,18-29,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Republican,GA,Nothing in particular,Conservative,0.108297443691102,20260831
LP0028,1892580124,Male,18,18-29,White / Caucasian,High school diploma / GED,False,"$100,000 to $167,999",False,Republican,IL,Nothing in particular,,6.3331323758318,20260831
LP0029,1894096588,Male,25,18-29,White / Caucasian,Some college or Associate's degree,False,"Less than $30,000",False,Democrat,CA,Jewish,Moderate,13.1841712680944,20260831
LP0030,1894252024,Male,18,18-29,White / Caucasian,High school diploma / GED,False,"$100,000 to $167,999",False,Democrat,MI,Agnostic,Liberal,1.33972166521193,20260831
