study_id,effect_id,f_profile_id,profile_signature_id,signature_source_n,signature_allocated_n,signature_empirical_share,signature_panel_share,missing_demographic_fields,GENDER,pid_3,age_5,EDUC4,ideo_3,race_4
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F001,e383c5b48c156e02,3,4,0.007712082262210797,0.008,race_4,Female,Democrat,Younger than 50,Non-College,Liberal,
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F002,e383c5b48c156e02,3,4,0.007712082262210797,0.008,race_4,Female,Democrat,Younger than 50,Non-College,Liberal,
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F003,e383c5b48c156e02,3,4,0.007712082262210797,0.008,race_4,Female,Democrat,Younger than 50,Non-College,Liberal,
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F004,e383c5b48c156e02,3,4,0.007712082262210797,0.008,race_4,Female,Democrat,Younger than 50,Non-College,Liberal,
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F005,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F006,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F007,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F008,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F009,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F010,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60__daa222c8fcf5fdd3__F011,2c27cc85e775673c,35,45,0.08997429305912596,0.09,,Male,Democrat,Older than 50,College,Conservative,White
