f_profile_id,donor_key,source_dataset,source_row_id,source_weight,age,age_band,gender,race,education,income,party,state,state_abbr,state_fips,donor_id,persona_generation_version,population_design,political_ideology,religion,f_selection_method,target_population
F0001,LP0001,CES 2024 Common Content,1866892874,11.5908128566172,24,18-29,Male,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,Tennessee,TN,,1866892874,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Protestant,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0002,LP0002,CES 2024 Common Content,1868845320,5.41045721236013,29,18-29,Male,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,Illinois,IL,,1868845320,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0003,LP0005,CES 2024 Common Content,1882436838,13.3894605428213,24,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,New York,NY,,1882436838,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Protestant,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0004,LP0006,CES 2024 Common Content,1882440362,13.7804942888017,26,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,Missouri,MO,,1882440362,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0005,LP0007,CES 2024 Common Content,1882441218,9.76778651206675,19,18-29,Male,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Other,Pennsylvania,PA,,1882441218,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0006,LP0013,CES 2024 Common Content,1886681886,5.36019005739021,29,18-29,Male,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,Rhode Island,RI,,1886681886,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0007,LP0014,CES 2024 Common Content,1886682386,2.56949408007889,29,18-29,Male,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Montana,MT,,1886682386,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0008,LP0016,CES 2024 Common Content,1886980568,9.74406903000917,24,18-29,Male,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,Georgia,GA,,1886980568,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Something else,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0009,LP0017,CES 2024 Common Content,1888319216,7.11150931924737,28,18-29,Male,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,Missouri,MO,,1888319216,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0010,LP0022,CES 2024 Common Content,1888480604,0.866709618739437,27,18-29,Male,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,Pennsylvania,PA,,1888480604,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
