donor_key,source_dataset,source_row_id,source_weight,age,age_band,gender,race,education,income,party,state,state_abbr,state_fips,donor_id,persona_generation_version,population_design,political_ideology,religion
LP0001,CES 2024 Common Content,1866892874,11.5908128566172,24,18-29,Male,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,Tennessee,TN,,1866892874,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Protestant
LP0002,CES 2024 Common Content,1868845320,5.41045721236013,29,18-29,Male,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,Illinois,IL,,1868845320,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Nothing in particular
LP0003,CES 2024 Common Content,1872505540,10.6282778342585,24,18-29,Male,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,New Jersey,NJ,,1872505540,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Roman Catholic
LP0004,CES 2024 Common Content,1882434100,10.8032619672302,25,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,Ohio,OH,,1882434100,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Roman Catholic
LP0005,CES 2024 Common Content,1882436838,13.3894605428213,24,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,New York,NY,,1882436838,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Protestant
LP0006,CES 2024 Common Content,1882440362,13.7804942888017,26,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,Missouri,MO,,1882440362,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Nothing in particular
LP0007,CES 2024 Common Content,1882441218,9.76778651206675,19,18-29,Male,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Other,Pennsylvania,PA,,1882441218,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Roman Catholic
LP0008,CES 2024 Common Content,1884590180,9.84024966370217,18,18-29,Male,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,Florida,FL,,1884590180,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Atheist
LP0009,CES 2024 Common Content,1885056380,4.71750191072596,23,18-29,Male,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican,Florida,FL,,1885056380,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Mormon
LP0010,CES 2024 Common Content,1886162646,0.318228268134463,26,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,Louisiana,LA,,1886162646,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Nothing in particular
