profile_id,latent_profile_id,condition,condition_replicate,gender,age,year_birth,age_band,race,education,income,party,state_fips,state_abbr
LP0001__control__R1,LP0001,control,1,Male,21,2005,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,16,ID
LP0002__control__R1,LP0002,control,1,Male,28,1998,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,22,LA
LP0003__control__R1,LP0003,control,1,Male,25,2001,18-29,White / Caucasian,Doctorate degree / Ph.D.,"$30,000 to $55,999",Independent,42,PA
LP0004__control__R1,LP0004,control,1,Male,18,2008,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,13,GA
LP0005__control__R1,LP0005,control,1,Male,26,2000,18-29,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,12,FL
LP0006__control__R1,LP0006,control,1,Male,26,2000,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,12,FL
LP0007__control__R1,LP0007,control,1,Male,18,2008,18-29,White / Caucasian,Less than high school,"$100,000 to $167,999",Independent,53,WA
LP0008__control__R1,LP0008,control,1,Male,23,2003,18-29,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Republican,22,LA
LP0009__control__R1,LP0009,control,1,Male,24,2002,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican,48,TX
LP0010__control__R1,LP0010,control,1,Male,21,2005,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat,06,CA
LP0011__control__R1,LP0011,control,1,Male,23,2003,18-29,White / Caucasian,Bachelor's degree,"Less than $30,000",Democrat,47,TN
LP0012__control__R1,LP0012,control,1,Male,25,2001,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,48,TX
LP0013__control__R1,LP0013,control,1,Male,24,2002,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,37,NC
LP0014__control__R1,LP0014,control,1,Male,27,1999,18-29,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,47,TN
LP0015__control__R1,LP0015,control,1,Male,28,1998,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,50,VT
LP0016__control__R1,LP0016,control,1,Male,26,2000,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,13,GA
LP0017__control__R1,LP0017,control,1,Male,23,2003,18-29,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,36,NY
LP0018__control__R1,LP0018,control,1,Male,27,1999,18-29,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Democrat,18,IN
LP0019__control__R1,LP0019,control,1,Male,23,2003,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,47,TN
LP0020__control__R1,LP0020,control,1,Male,23,2003,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,54,WV
LP0021__control__R1,LP0021,control,1,Male,19,2007,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,36,NY
LP0022__control__R1,LP0022,control,1,Male,24,2002,18-29,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent,48,TX
LP0023__control__R1,LP0023,control,1,Male,29,1997,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,42,PA
LP0024__control__R1,LP0024,control,1,Male,27,1999,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,34,NJ
LP0025__control__R1,LP0025,control,1,Male,20,2006,18-29,White / Caucasian,Less than high school,"$100,000 to $167,999",Other,39,OH
LP0026__control__R1,LP0026,control,1,Male,19,2007,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,05,AR
LP0027__control__R1,LP0027,control,1,Male,22,2004,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,36,NY
LP0028__control__R1,LP0028,control,1,Male,20,2006,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,21,KY
LP0029__control__R1,LP0029,control,1,Male,19,2007,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,17,IL
LP0030__control__R1,LP0030,control,1,Male,26,2000,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,29,MO
LP0031__control__R1,LP0031,control,1,Male,20,2006,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat,48,TX
LP0032__control__R1,LP0032,control,1,Male,27,1999,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,36,NY
LP0033__control__R1,LP0033,control,1,Male,26,2000,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,12,FL
LP0034__control__R1,LP0034,control,1,Male,29,1997,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent,36,NY
