study_id,effect_id,demographic_variable,category,control_pct,treatment_pct,abs_pp_difference,diagnostic_only
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,GENDER,Female,36.0,41.7989417989418,5.798941798941797,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,GENDER,Male,64.0,58.201058201058196,5.798941798941804,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,race_4,Black,4.0,5.82010582010582,1.8201058201058196,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,race_4,White,78.5,83.5978835978836,5.097883597883595,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,race_4,__MISSING__,17.5,10.582010582010582,6.917989417989418,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,pid_3,Democrat,54.0,56.613756613756614,2.613756613756614,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,pid_3,Independent,4.5,3.1746031746031744,1.3253968253968256,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,pid_3,Republican,41.5,40.21164021164021,1.2883597883597915,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,age_5,Older than 50,73.0,68.78306878306879,4.216931216931215,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,age_5,Younger than 50,27.0,31.216931216931215,4.216931216931215,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,EDUC4,College,44.5,42.32804232804233,2.1719576719576708,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,EDUC4,Non-College,55.50000000000001,57.67195767195767,2.1719576719576636,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,ideo_3,Conservative,45.0,45.5026455026455,0.5026455026454997,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,ideo_3,Liberal,27.0,25.925925925925924,1.0740740740740762,True
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,ideo_3,Moderate,27.500000000000004,28.57142857142857,1.0714285714285658,True
