study_id,effect_id,analytic_n,distinct_profile_signatures,profiles_with_any_missing_demographic,pct_profiles_with_any_missing_demographic,n_f,max_signature_multiplicity_in_panel,max_abs_signature_share_error_pp,same_panel_control_treatment,profile_fields_available,status,control_observed_n,treatment_observed_n,human_control_conditions,human_treatment_conditions,outcome,analytic_sample_definition,human_estimator,population_matching_method
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,389,87,55,14.138817480719794,500,45,0.08637532133676101,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,200,189,Control group 1,Treatment group 1,blue_collar_positivity,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,389,87,54,13.881748071979434,500,45,0.08637532133676101,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,200,189,Control group 1,Treatment group 1,economy_positivity,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Blair1131,Blair1131:Approve_Handling:hyp1,378,134,123,32.53968253968254,500,20,0.1354497354497355,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,189,189,"Male, Democrat, Eric, Not engage|Male, Republican, Eric, Not engage","Male, Democrat, Erica, Not engage|Male, Republican, Erica, Not engage",Approve_Handling,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Blair1131,Blair1131:Approve_Handling:hyp2,385,135,113,29.350649350649352,500,20,0.10389610389610407,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,196,189,"Male, Democrat, Eric Engage|Male, Republican, Eric, Engage","Male, Democrat, Erica, Engage|Male, Republican, Erica, Engage",Approve_Handling,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Braman751,Braman751:legitimacy:hyp1,531,107,108,20.338983050847457,500,31,0.12994350282485873,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,277,254,"Gun Control, Clear Authority, 15% support|Gun Control, Clear Authority, 85% support|Immigration, Clear Authority, 15% support|Immigration, Clear Authority, 85% support","Gun Control, Divided, 85% support|Gun Control, Divided. 15% support|Immigration, Divided, 15% support|Immigration, Divided, 85% support",legitimacy,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Braman751,Braman751:legitimacy:hyp2,542,116,112,20.66420664206642,500,35,0.1380073800738007,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,277,265,"Gun Control, Clear Authority, 15% support|Gun Control, Clear Authority, 85% support|Immigration, Clear Authority, 15% support|Immigration, Clear Authority, 85% support","Gun Control, Clearly No Authority, 15% support|Gun Control, Clearly No Authority, 85% support|Immigration, Clearly No Authority, 15% support|Immigration, Clearly No Authority, 85% support",legitimacy,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Braman751,Braman751:pass_legislation:hyp1,726,117,145,19.97245179063361,500,32,0.1283746556473831,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,356,370,"Gun Control, Clear Authority, 15% support|Gun Control, Clearly No Authority, 15% support|Gun Control, Divided. 15% support|Immigration, Clear Authority, 15% support|Immigration, Divided, 15% support","Gun Control, Clear Authority, 85% support|Gun Control, Clearly No Authority, 85% support|Gun Control, Divided, 85% support|Immigration, Clear Authority, 85% support|Immigration, Clearly No Authority, 85% support|Immigration, Divided, 85% support",pass_legislation,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Braman751,Braman751:scholar_credibility:hyp1,344,92,70,20.348837209302324,500,35,0.10930232558139535,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,176,168,"Gun Control, Clear Authority, 15% support|Gun Control, Clear Authority, 85% support|Immigration, Clear Authority, 15% support|Immigration, Clear Authority, 85% support","Gun Control, Divided, 85% support|Gun Control, Divided. 15% support|Immigration, Divided, 15% support|Immigration, Divided, 85% support",scholar_credibility,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Braman751,Braman751:scholar_credibility:hyp2,338,93,69,20.414201183431953,500,41,0.10414201183431954,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,176,162,"Gun Control, Clear Authority, 15% support|Gun Control, Clear Authority, 85% support|Immigration, Clear Authority, 15% support|Immigration, Clear Authority, 85% support","Gun Control, Clearly No Authority, 15% support|Gun Control, Clearly No Authority, 85% support|Immigration, Clearly No Authority, 15% support|Immigration, Clearly No Authority, 85% support",scholar_credibility,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
CalarcoS38,CalarcoS38:Approval:hyp1,2002,218,549,27.422577422577422,500,19,0.10029970029970031,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,650,1352,"HIGH STATUS, NO DRINKING, NO WARNING|HIGH STATUS, NO DRINKING, WARNING|LOW STATUS, NO DRINKING, NO WARNING|LOW STATUS, NO DRINKING, WARNING","HIGH STATUS, HEAVY DRINKIG, WARNING|HIGH STATUS, HEAVY DRINKING, NO WARNING|HIGH STATUS, LIGHT DRINKING, NO WARNING|HIGH STATUS, LIGHT DRINKING, WARNING|LOW STATUS, HEAVY DRINKING, NO WARNING|LOW STATUS, HEAVY DRINKING, WARNING|LOW STATUS, LIGHT DRINKING, NO WARNING|LOW STATUS, LIGHT DRINKING, WARNING",Approval,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
CalarcoS38,CalarcoS38:Approval:hyp2,1355,203,350,25.830258302583026,500,22,0.11439114391143916,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,650,705,"HIGH STATUS, NO DRINKING, NO WARNING|HIGH STATUS, NO DRINKING, WARNING|LOW STATUS, NO DRINKING, NO WARNING|LOW STATUS, NO DRINKING, WARNING","HIGH STATUS, LIGHT DRINKING, NO WARNING|HIGH STATUS, LIGHT DRINKING, WARNING|LOW STATUS, LIGHT DRINKING, NO WARNING|LOW STATUS, LIGHT DRINKING, WARNING",Approval,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
CalarcoS38,CalarcoS38:Approval:hyp3,705,161,185,26.24113475177305,500,24,0.10921985815602833,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,331,374,"HIGH STATUS, LIGHT DRINKING, NO WARNING|HIGH STATUS, LIGHT DRINKING, WARNING","LOW STATUS, LIGHT DRINKING, NO WARNING|LOW STATUS, LIGHT DRINKING, WARNING",Approval,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Campbell1308,Campbell1308:Gender Roles:hyp1,991,37,233,23.511604439959637,500,46,0.10090817356205853,True,GENDER|race_4|pid_3|age_5,PASS,258,733,Control,Democratic story|Non-Partisan story|Republican story,Gender Roles,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
