study_id,n_effects,n_distinct_human_analytic_samples,effect_specific_panels_required_for_exact_alignment
AnsonBRIEF60,2,2,True
Blair1131,2,2,True
Braman751,5,5,True
CalarcoS38,3,3,True
Campbell1308,3,3,True
Cohen1099,5,5,True
CorstangeBRIEF69,2,2,True
Enos700,1,1,False
FaheyS78,1,1,False
FarrowS6,1,1,False
Haaland874,3,3,True
HankinsonS22,1,1,False
Howard823,4,4,True
Iles1294,9,5,True
Kennedy1017,6,6,True
KlarS44,6,6,True
McGinty730,12,12,True
Melin1066,6,6,True
Merolla843,7,7,True
Mezzapelle1439,9,6,True
MunschS68,1,1,False
SchaadS62,3,1,False
Schnabel903,2,2,True
ShannonS2,3,3,True
Silverman1035,12,12,True
Stoker1063,3,3,True
Terman1029,9,9,True
WallaceS9,2,2,True
Williamson859,3,3,True
bolsenM6,9,9,True
bucci1408,1,1,False
