study_id,effect_id,demographic_variable,observed_n,missing_n,missing_pct
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,GENDER,389,0,0.0
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,race_4,334,55,14.138817480719794
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,pid_3,389,0,0.0
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,age_5,389,0,0.0
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,EDUC4,389,0,0.0
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,ideo_3,388,1,0.2570694087403599
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,GENDER,389,0,0.0
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,race_4,335,54,13.881748071979434
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,pid_3,389,0,0.0
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,age_5,389,0,0.0
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,EDUC4,389,0,0.0
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,ideo_3,388,1,0.2570694087403599
Blair1131,Blair1131:Approve_Handling:hyp1,GENDER,378,0,0.0
Blair1131,Blair1131:Approve_Handling:hyp1,race_4,285,93,24.603174603174605
Blair1131,Blair1131:Approve_Handling:hyp1,pid_3,377,1,0.26455026455026454
Blair1131,Blair1131:Approve_Handling:hyp1,age_5,378,0,0.0
Blair1131,Blair1131:Approve_Handling:hyp1,EDUC4,378,0,0.0
Blair1131,Blair1131:Approve_Handling:hyp1,ideo_3,336,42,11.11111111111111
Blair1131,Blair1131:Approve_Handling:hyp2,GENDER,385,0,0.0
Blair1131,Blair1131:Approve_Handling:hyp2,race_4,294,91,23.636363636363637
Blair1131,Blair1131:Approve_Handling:hyp2,pid_3,382,3,0.7792207792207793
Blair1131,Blair1131:Approve_Handling:hyp2,age_5,385,0,0.0
Blair1131,Blair1131:Approve_Handling:hyp2,EDUC4,385,0,0.0
Blair1131,Blair1131:Approve_Handling:hyp2,ideo_3,356,29,7.532467532467533
Braman751,Braman751:legitimacy:hyp1,GENDER,531,0,0.0
Braman751,Braman751:legitimacy:hyp1,race_4,425,106,19.962335216572505
Braman751,Braman751:legitimacy:hyp1,pid_3,531,0,0.0
Braman751,Braman751:legitimacy:hyp1,age_5,531,0,0.0
Braman751,Braman751:legitimacy:hyp1,EDUC4,531,0,0.0
Braman751,Braman751:legitimacy:hyp1,ideo_3,529,2,0.3766478342749529
Braman751,Braman751:legitimacy:hyp2,GENDER,542,0,0.0
Braman751,Braman751:legitimacy:hyp2,race_4,432,110,20.29520295202952
Braman751,Braman751:legitimacy:hyp2,pid_3,542,0,0.0
Braman751,Braman751:legitimacy:hyp2,age_5,542,0,0.0
Braman751,Braman751:legitimacy:hyp2,EDUC4,542,0,0.0
Braman751,Braman751:legitimacy:hyp2,ideo_3,539,3,0.5535055350553506
Braman751,Braman751:pass_legislation:hyp1,GENDER,726,0,0.0
Braman751,Braman751:pass_legislation:hyp1,race_4,582,144,19.834710743801654
Braman751,Braman751:pass_legislation:hyp1,pid_3,726,0,0.0
Braman751,Braman751:pass_legislation:hyp1,age_5,726,0,0.0
Braman751,Braman751:pass_legislation:hyp1,EDUC4,726,0,0.0
Braman751,Braman751:pass_legislation:hyp1,ideo_3,725,1,0.13774104683195593
Braman751,Braman751:scholar_credibility:hyp1,GENDER,344,0,0.0
Braman751,Braman751:scholar_credibility:hyp1,race_4,275,69,20.058139534883722
Braman751,Braman751:scholar_credibility:hyp1,pid_3,344,0,0.0
Braman751,Braman751:scholar_credibility:hyp1,age_5,344,0,0.0
Braman751,Braman751:scholar_credibility:hyp1,EDUC4,344,0,0.0
Braman751,Braman751:scholar_credibility:hyp1,ideo_3,343,1,0.29069767441860467
Braman751,Braman751:scholar_credibility:hyp2,GENDER,338,0,0.0
Braman751,Braman751:scholar_credibility:hyp2,race_4,270,68,20.118343195266274
Braman751,Braman751:scholar_credibility:hyp2,pid_3,338,0,0.0
Braman751,Braman751:scholar_credibility:hyp2,age_5,338,0,0.0
Braman751,Braman751:scholar_credibility:hyp2,EDUC4,338,0,0.0
Braman751,Braman751:scholar_credibility:hyp2,ideo_3,337,1,0.2958579881656805
CalarcoS38,CalarcoS38:Approval:hyp1,GENDER,2002,0,0.0
CalarcoS38,CalarcoS38:Approval:hyp1,race_4,1545,457,22.827172827172827
CalarcoS38,CalarcoS38:Approval:hyp1,pid_3,2000,2,0.0999000999000999
CalarcoS38,CalarcoS38:Approval:hyp1,age_5,2002,0,0.0
CalarcoS38,CalarcoS38:Approval:hyp1,EDUC4,2002,0,0.0
CalarcoS38,CalarcoS38:Approval:hyp1,ideo_3,1865,137,6.8431568431568435
CalarcoS38,CalarcoS38:Approval:hyp2,GENDER,1355,0,0.0
CalarcoS38,CalarcoS38:Approval:hyp2,race_4,1066,289,21.328413284132843
CalarcoS38,CalarcoS38:Approval:hyp2,pid_3,1354,1,0.07380073800738007
CalarcoS38,CalarcoS38:Approval:hyp2,age_5,1355,0,0.0
CalarcoS38,CalarcoS38:Approval:hyp2,EDUC4,1355,0,0.0
CalarcoS38,CalarcoS38:Approval:hyp2,ideo_3,1268,87,6.4206642066420665
CalarcoS38,CalarcoS38:Approval:hyp3,GENDER,705,0,0.0
CalarcoS38,CalarcoS38:Approval:hyp3,race_4,555,150,21.27659574468085
CalarcoS38,CalarcoS38:Approval:hyp3,pid_3,704,1,0.14184397163120568
CalarcoS38,CalarcoS38:Approval:hyp3,age_5,705,0,0.0
CalarcoS38,CalarcoS38:Approval:hyp3,EDUC4,705,0,0.0
CalarcoS38,CalarcoS38:Approval:hyp3,ideo_3,659,46,6.524822695035461
Campbell1308,Campbell1308:Gender Roles:hyp1,GENDER,991,0,0.0
Campbell1308,Campbell1308:Gender Roles:hyp1,race_4,759,232,23.41069626639758
Campbell1308,Campbell1308:Gender Roles:hyp1,pid_3,989,2,0.20181634712411706
Campbell1308,Campbell1308:Gender Roles:hyp1,age_5,991,0,0.0
Campbell1308,Campbell1308:Political Engagement:hyp1,GENDER,973,0,0.0
Campbell1308,Campbell1308:Political Engagement:hyp1,race_4,744,229,23.53545734840699
Campbell1308,Campbell1308:Political Engagement:hyp1,pid_3,971,2,0.20554984583761562
Campbell1308,Campbell1308:Political Engagement:hyp1,age_5,973,0,0.0
Campbell1308,Campbell1308:Political Responsiveness:hyp1,GENDER,974,0,0.0
Campbell1308,Campbell1308:Political Responsiveness:hyp1,race_4,746,228,23.408624229979466
Campbell1308,Campbell1308:Political Responsiveness:hyp1,pid_3,972,2,0.2053388090349076
Campbell1308,Campbell1308:Political Responsiveness:hyp1,age_5,974,0,0.0
Cohen1099,Cohen1099:Accounting:hyp1,GENDER,1592,0,0.0
Cohen1099,Cohen1099:Accounting:hyp1,race_4,1241,351,22.047738693467338
Cohen1099,Cohen1099:Accounting:hyp1,pid_3,1581,11,0.6909547738693468
Cohen1099,Cohen1099:Accounting:hyp1,age_5,1592,0,0.0
Cohen1099,Cohen1099:Accounting:hyp1,EDUC4,1592,0,0.0
Cohen1099,Cohen1099:Accounting:hyp1,ideo_3,1464,128,8.040201005025125
Cohen1099,Cohen1099:Accounting:hyp2,GENDER,1079,0,0.0
Cohen1099,Cohen1099:Accounting:hyp2,race_4,851,228,21.1306765523633
Cohen1099,Cohen1099:Accounting:hyp2,pid_3,1070,9,0.8341056533827618
Cohen1099,Cohen1099:Accounting:hyp2,age_5,1079,0,0.0
Cohen1099,Cohen1099:Accounting:hyp2,EDUC4,1079,0,0.0
Cohen1099,Cohen1099:Accounting:hyp2,ideo_3,990,89,8.248378127896201
Cohen1099,Cohen1099:History:hyp1,GENDER,1596,0,0.0
Cohen1099,Cohen1099:History:hyp1,race_4,1243,353,22.117794486215537
Cohen1099,Cohen1099:History:hyp1,pid_3,1585,11,0.6892230576441103
Cohen1099,Cohen1099:History:hyp1,age_5,1596,0,0.0
Cohen1099,Cohen1099:History:hyp1,EDUC4,1596,0,0.0
Cohen1099,Cohen1099:History:hyp1,ideo_3,1470,126,7.894736842105263
Cohen1099,Cohen1099:Nursing:hyp1,GENDER,1591,0,0.0
Cohen1099,Cohen1099:Nursing:hyp1,race_4,1240,351,22.061596480201132
Cohen1099,Cohen1099:Nursing:hyp1,pid_3,1581,10,0.6285355122564424
Cohen1099,Cohen1099:Nursing:hyp1,age_5,1591,0,0.0
Cohen1099,Cohen1099:Nursing:hyp1,EDUC4,1591,0,0.0
Cohen1099,Cohen1099:Nursing:hyp1,ideo_3,1465,126,7.919547454431175
Cohen1099,Cohen1099:Nursing:hyp2,GENDER,1080,0,0.0
Cohen1099,Cohen1099:Nursing:hyp2,race_4,852,228,21.11111111111111
Cohen1099,Cohen1099:Nursing:hyp2,pid_3,1071,9,0.8333333333333334
Cohen1099,Cohen1099:Nursing:hyp2,age_5,1080,0,0.0
Cohen1099,Cohen1099:Nursing:hyp2,EDUC4,1080,0,0.0
Cohen1099,Cohen1099:Nursing:hyp2,ideo_3,992,88,8.148148148148149
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,GENDER,528,0,0.0
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,race_4,419,109,20.643939393939394
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,pid_3,528,0,0.0
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,age_5,528,0,0.0
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,EDUC4,528,0,0.0
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,ideo_3,527,1,0.1893939393939394
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,GENDER,518,0,0.0
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,race_4,408,110,21.235521235521237
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,pid_3,518,0,0.0
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,age_5,518,0,0.0
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,EDUC4,518,0,0.0
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,ideo_3,516,2,0.3861003861003861
Enos700,Enos700:modern_racism1:hyp1,GENDER,715,0,0.0
Enos700,Enos700:modern_racism1:hyp1,race_4,584,131,18.321678321678323
Enos700,Enos700:modern_racism1:hyp1,pid_3,715,0,0.0
Enos700,Enos700:modern_racism1:hyp1,age_5,715,0,0.0
Enos700,Enos700:modern_racism1:hyp1,EDUC4,715,0,0.0
Enos700,Enos700:modern_racism1:hyp1,ideo_3,708,7,0.9790209790209791
FaheyS78,FaheyS78:cancel culture:hyp1,GENDER,2002,0,0.0
FaheyS78,FaheyS78:cancel culture:hyp1,race_4,1542,460,22.977022977022976
FaheyS78,FaheyS78:cancel culture:hyp1,pid_3,2001,1,0.04995004995004995
FaheyS78,FaheyS78:cancel culture:hyp1,age_5,2002,0,0.0
FaheyS78,FaheyS78:cancel culture:hyp1,EDUC4,2002,0,0.0
FaheyS78,FaheyS78:cancel culture:hyp1,ideo_3,1973,29,1.4485514485514486
FarrowS6,FarrowS6:Disappointment:hyp1,GENDER,974,0,0.0
FarrowS6,FarrowS6:Disappointment:hyp1,race_4,750,224,22.99794661190965
FarrowS6,FarrowS6:Disappointment:hyp1,pid_3,734,240,24.640657084188913
FarrowS6,FarrowS6:Disappointment:hyp1,age_5,974,0,0.0
FarrowS6,FarrowS6:Disappointment:hyp1,EDUC4,974,0,0.0
FarrowS6,FarrowS6:Disappointment:hyp1,ideo_3,725,249,25.564681724845997
Haaland874,Haaland874:Affirmative action: Assistance:hyp1,GENDER,1533,0,0.0
Haaland874,Haaland874:Affirmative action: Assistance:hyp1,race_4,1181,352,22.961513372472275
Haaland874,Haaland874:Affirmative action: Assistance:hyp1,pid_3,1529,4,0.2609262883235486
Haaland874,Haaland874:Affirmative action: Assistance:hyp1,age_5,1533,0,0.0
Haaland874,Haaland874:Affirmative action: Assistance:hyp1,EDUC4,1533,0,0.0
Haaland874,Haaland874:Affirmative action: Assistance:hyp1,ideo_3,1517,16,1.0437051532941943
Haaland874,Haaland874:Affirmative action: Preference:hyp1,GENDER,1535,0,0.0
Haaland874,Haaland874:Affirmative action: Preference:hyp1,race_4,1185,350,22.80130293159609
Haaland874,Haaland874:Affirmative action: Preference:hyp1,pid_3,1532,3,0.19543973941368079
Haaland874,Haaland874:Affirmative action: Preference:hyp1,age_5,1535,0,0.0
Haaland874,Haaland874:Affirmative action: Preference:hyp1,EDUC4,1535,0,0.0
Haaland874,Haaland874:Affirmative action: Preference:hyp1,ideo_3,1519,16,1.0423452768729642
Haaland874,Haaland874:Racial Discrimination perception:hyp1,GENDER,1538,0,0.0
Haaland874,Haaland874:Racial Discrimination perception:hyp1,race_4,1186,352,22.886866059817944
Haaland874,Haaland874:Racial Discrimination perception:hyp1,pid_3,1534,4,0.26007802340702213
Haaland874,Haaland874:Racial Discrimination perception:hyp1,age_5,1538,0,0.0
Haaland874,Haaland874:Racial Discrimination perception:hyp1,EDUC4,1538,0,0.0
Haaland874,Haaland874:Racial Discrimination perception:hyp1,ideo_3,1521,17,1.105331599479844
HankinsonS22,HankinsonS22:Clinic_support:hyp1,GENDER,2000,0,0.0
HankinsonS22,HankinsonS22:Clinic_support:hyp1,race_4,1548,452,22.6
HankinsonS22,HankinsonS22:Clinic_support:hyp1,pid_3,1997,3,0.15
HankinsonS22,HankinsonS22:Clinic_support:hyp1,age_5,2000,0,0.0
HankinsonS22,HankinsonS22:Clinic_support:hyp1,EDUC4,2000,0,0.0
HankinsonS22,HankinsonS22:Clinic_support:hyp1,ideo_3,1787,213,10.65
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp1,GENDER,854,0,0.0
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp1,race_4,707,147,17.21311475409836
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp1,pid_3,854,0,0.0
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp1,age_5,854,0,0.0
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp1,EDUC4,854,0,0.0
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp1,ideo_3,852,2,0.234192037470726
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp2,GENDER,827,0,0.0
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp2,race_4,672,155,18.742442563482467
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp2,pid_3,827,0,0.0
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp2,age_5,827,0,0.0
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp2,EDUC4,827,0,0.0
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp2,ideo_3,824,3,0.36275695284159615
