study_id,n_respondents,original_rows_with_complete_usable_demographics,distinct_demographic_tuples,profile_fields_available,n_profile_fields_available,weight_variables_detected,max_replications_of_one_original_respondent,panel_n_f,replacement_required,population_matching_method
AnsonBRIEF60,391,336,61,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,5,500,True,study_respondent_profile_distribution_unweighted
Blair1131,1149,793,103,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Braman751,801,638,77,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
CalarcoS38,2005,1454,112,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Campbell1308,1000,764,23,GENDER|race_4|pid_3|age_5,4,,1,500,False,study_respondent_profile_distribution_unweighted
Cohen1099,1610,1159,110,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
CorstangeBRIEF69,2073,1662,108,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Enos700,733,589,79,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
FaheyS78,2009,1526,114,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
FarrowS6,995,581,84,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Haaland874,1542,1175,112,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
HankinsonS22,2008,1406,113,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Howard823,1288,1036,93,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Iles1294,1027,784,93,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Kennedy1017,2595,1823,120,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
KlarS44,2118,1519,117,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
McGinty730,2848,2348,113,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Melin1066,1682,1178,115,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Merolla843,611,498,78,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,5,500,True,study_respondent_profile_distribution_unweighted
Mezzapelle1439,2113,1590,102,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
MunschS68,766,597,100,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
SchaadS62,2116,1640,118,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Schnabel903,2789,1929,103,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
ShannonS2,2543,1556,107,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Silverman1035,1340,998,99,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Stoker1063,1826,1335,103,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Terman1029,1912,1451,44,GENDER|race_4|pid_3|age_5|EDUC4,5,,1,500,False,study_respondent_profile_distribution_unweighted
WallaceS9,2007,1450,113,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
Williamson859,1527,1134,105,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
bolsenM6,1601,1204,90,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,6,,1,500,False,study_respondent_profile_distribution_unweighted
bucci1408,2203,1587,16,GENDER|race_4|age_5|EDUC4,4,,1,500,False,study_respondent_profile_distribution_unweighted
