study_id,human_estimator_source,human_weighted,weight_variable,alignment_compatible,notes
AnsonBRIEF60,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Blair1131,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Braman751,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
CalarcoS38,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Campbell1308,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Cohen1099,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
CorstangeBRIEF69,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Enos700,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
FaheyS78,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
FarrowS6,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Haaland874,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
HankinsonS22,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Howard823,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Iles1294,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Kennedy1017,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
KlarS44,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
McGinty730,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Melin1066,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Merolla843,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Mezzapelle1439,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
MunschS68,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
SchaadS62,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Schnabel903,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
ShannonS2,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Silverman1035,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Stoker1063,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Terman1029,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
WallaceS9,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
Williamson859,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
bolsenM6,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
bucci1408,"rct_condition_means.csv from extract_archive_rds.R: mean(y, na.rm=TRUE), n=sum(!is.na(y))",False,,True,no weight variable detected; archived human ATE is treated as the unweighted study-sample estimand
