study_id,respondent_demographics_available,survey_weights_available,published_population_margins_available,currently_used_method,preferred_method_under_protocol,action_needed,notes
AnsonBRIEF60,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Blair1131,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Braman751,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
CalarcoS38,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Campbell1308,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Cohen1099,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
CorstangeBRIEF69,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Enos700,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
FaheyS78,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
FarrowS6,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Haaland874,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
HankinsonS22,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Howard823,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Iles1294,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Kennedy1017,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
KlarS44,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
McGinty730,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Melin1066,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Merolla843,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
Mezzapelle1439,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3|y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
MunschS68,True,False,False,study_effect_analytic_profile_distribution_unweighted_largest_remainder,study_effect_analytic_profile_distribution_unweighted_largest_remainder,none,rct_responses.RDS columns: y|condition.name|GENDER|race_4|pid_3|age_5|EDUC4|ideo_3
