study_id,effect_id,human_ate_native,synthetic_ate_native,outcome_range,human_ate_pp,synthetic_ate_pp,treatment_label,control_label,reverse_coded,alignment_status,notes
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,-0.1522486772486799,-0.0449999999999999,4.0,-3.806216931216999,-1.1249999999999982,Treatment group 1 | Treatment group 1,Control group 1 | Control group 1,True,ok,percent conversion and condition labels pass cached-data checks
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,0.0119841269841298,0.8333333333333397,4.0,0.2996031746032468,20.83333333333349,Treatment group 1 | Treatment group 1,Control group 1 | Control group 1,True,ok,percent conversion and condition labels pass cached-data checks
Blair1131,Blair1131:Approve_Handling:hyp1,-0.1904761904761911,0.1325000000000002,6.0,-3.174603174603185,2.208333333333337,"Male, Republican, Erica, Not engage | Male, Democrat, Erica, Not engage","Male, Republican, Eric, Not engage | Male, Democrat, Eric, Not engage",False,sign_disagreement_not_implementation_error_by_itself,sign_disagreement_review
Blair1131,Blair1131:Approve_Handling:hyp2,0.1672335600907066,0.0950000000000006,6.0,2.787226001511778,1.5833333333333477,"Male, Republican, Erica, Engage | Male, Democrat, Erica, Engage","Male, Republican, Eric, Engage | Male, Democrat, Eric Engage",False,ok,percent conversion and condition labels pass cached-data checks
Braman751,Braman751:legitimacy:hyp1,0.2453310213479573,-0.3920833333333302,6.0,4.0888503557992895,-6.534722222222166,"Gun Control, Divided, 85% support | Gun Control, Divided. 15% support | Immigration, Divided, 85% support | Immigration, Divided, 15% support | Gun Control, Clear Authority, 85% support | Gun Control, Divided, 85% support | Gun Control, Clearly No Authority, 85% support | Immigration, Clear Authority, 85% support | Immigration, Divided, 85% support | Immigration, Clearly No Authority, 85% support | Gun Control, Divided, 85% support | Gun Control, Divided. 15% support | Immigration, Divided, 85% support | Immigration, Divided, 15% support","Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support | Gun Control, Clear Authority, 15% support | Gun Control, Divided. 15% support | Gun Control, Clearly No Authority, 15% support | Immigration, Clear Authority, 15% support | Immigration, Divided, 15% support | Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support",True,sign_disagreement_not_implementation_error_by_itself,sign_disagreement_review
Braman751,Braman751:legitimacy:hyp2,0.5802738233090365,-1.0487500000000003,6.0,9.67123038848394,-17.479166666666675,"Gun Control, Clearly No Authority, 85% support | Gun Control, Clearly No Authority, 15% support | Immigration, Clearly No Authority, 85% support | Immigration, Clearly No Authority, 15% support | Gun Control, Clearly No Authority, 85% support | Gun Control, Clearly No Authority, 15% support | Immigration, Clearly No Authority, 85% support | Immigration, Clearly No Authority, 15% support","Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support | Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support",True,sign_disagreement_not_implementation_error_by_itself,sign_disagreement_review
Braman751,Braman751:pass_legislation:hyp1,0.2200121469784424,0.179000000000002,5.0,4.400242939568855,3.5800000000000445,"Gun Control, Divided, 85% support | Gun Control, Divided. 15% support | Immigration, Divided, 85% support | Immigration, Divided, 15% support | Gun Control, Clear Authority, 85% support | Gun Control, Divided, 85% support | Gun Control, Clearly No Authority, 85% support | Immigration, Clear Authority, 85% support | Immigration, Divided, 85% support | Immigration, Clearly No Authority, 85% support | Gun Control, Divided, 85% support | Gun Control, Divided. 15% support | Immigration, Divided, 85% support | Immigration, Divided, 15% support","Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support | Gun Control, Clear Authority, 15% support | Gun Control, Divided. 15% support | Gun Control, Clearly No Authority, 15% support | Immigration, Clear Authority, 15% support | Immigration, Divided, 15% support | Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support",False,ok,percent conversion and condition labels pass cached-data checks
Braman751,Braman751:scholar_credibility:hyp1,0.0376082251082239,0.0541666666666678,1.0,3.760822510822393,5.416666666666781,"Gun Control, Divided, 85% support | Gun Control, Divided. 15% support | Immigration, Divided, 85% support | Immigration, Divided, 15% support | Gun Control, Clear Authority, 85% support | Gun Control, Divided, 85% support | Gun Control, Clearly No Authority, 85% support | Immigration, Clear Authority, 85% support | Immigration, Divided, 85% support | Immigration, Clearly No Authority, 85% support | Gun Control, Divided, 85% support | Gun Control, Divided. 15% support | Immigration, Divided, 85% support | Immigration, Divided, 15% support","Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support | Gun Control, Clear Authority, 15% support | Gun Control, Divided. 15% support | Gun Control, Clearly No Authority, 15% support | Immigration, Clear Authority, 15% support | Immigration, Divided, 15% support | Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support",True,ok,percent conversion and condition labels pass cached-data checks
Braman751,Braman751:scholar_credibility:hyp2,0.0805976430976429,0.0033333333333351,1.0,8.059764309764294,0.3333333333335186,"Gun Control, Clearly No Authority, 85% support | Gun Control, Clearly No Authority, 15% support | Immigration, Clearly No Authority, 85% support | Immigration, Clearly No Authority, 15% support | Gun Control, Clearly No Authority, 85% support | Gun Control, Clearly No Authority, 15% support | Immigration, Clearly No Authority, 85% support | Immigration, Clearly No Authority, 15% support","Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support | Gun Control, Clear Authority, 85% support | Gun Control, Clear Authority, 15% support | Immigration, Clear Authority, 85% support | Immigration, Clear Authority, 15% support",True,ok,percent conversion and condition labels pass cached-data checks
CalarcoS38,CalarcoS38:Approval:hyp1,2.08955621301775,-3.321458333333336,4.0,52.23890532544375,-83.0364583333334,"HIGH STATUS, LIGHT DRINKING, NO WARNING | HIGH STATUS, LIGHT DRINKING, WARNING | HIGH STATUS, HEAVY DRINKING, NO WARNING | HIGH STATUS, HEAVY DRINKIG, WARNING | LOW STATUS, LIGHT DRINKING, NO WARNING | LOW STATUS, LIGHT DRINKING, WARNING | LOW STATUS, HEAVY DRINKING, NO WARNING | LOW STATUS, HEAVY DRINKING, WARNING","HIGH STATUS, NO DRINKING, NO WARNING | HIGH STATUS, NO DRINKING, WARNING | LOW STATUS, NO DRINKING, NO WARNING | LOW STATUS, NO DRINKING, WARNING",True,sign_disagreement_not_implementation_error_by_itself,sign_disagreement_review
CalarcoS38,CalarcoS38:Approval:hyp2,1.768205128205126,-2.6754166666666688,4.0,44.20512820512816,-66.88541666666671,"HIGH STATUS, LIGHT DRINKING, NO WARNING | HIGH STATUS, LIGHT DRINKING, WARNING | LOW STATUS, LIGHT DRINKING, NO WARNING | LOW STATUS, LIGHT DRINKING, WARNING","HIGH STATUS, NO DRINKING, NO WARNING | HIGH STATUS, NO DRINKING, WARNING | LOW STATUS, NO DRINKING, NO WARNING | LOW STATUS, NO DRINKING, WARNING",True,sign_disagreement_not_implementation_error_by_itself,sign_disagreement_review
CalarcoS38,CalarcoS38:Approval:hyp3,-0.0668206859783193,-0.2150000000000056,4.0,-1.670517149457984,-5.37500000000014,"LOW STATUS, LIGHT DRINKING, NO WARNING | LOW STATUS, LIGHT DRINKING, WARNING","HIGH STATUS, LIGHT DRINKING, NO WARNING | HIGH STATUS, LIGHT DRINKING, WARNING",True,ok,percent conversion and condition labels pass cached-data checks
Campbell1308,Campbell1308:Gender Roles:hyp1,0.0739448163541522,0.3050000000000024,10.0,0.7394481635415229,3.0500000000000305,Non-Partisan story | Democratic story | Republican story | Non-Partisan story | Democratic story | Republican story | Non-Partisan story | Democratic story | Republican story,Control | Control | Control,False,ok,percent conversion and condition labels pass cached-data checks
Campbell1308,Campbell1308:Political Engagement:hyp1,-0.1471317088015986,0.0466666666666588,10.0,-1.4713170880159776,0.466666666666593,Non-Partisan story | Democratic story | Republican story | Non-Partisan story | Democratic story | Republican story | Non-Partisan story | Democratic story | Republican story,Control | Control | Control,False,sign_disagreement_not_implementation_error_by_itself,sign_disagreement_review
Campbell1308,Campbell1308:Political Responsiveness:hyp1,-0.2087762998659599,-0.1072222222222238,10.0,-2.0877629986595982,-1.072222222222241,Non-Partisan story | Democratic story | Republican story | Non-Partisan story | Democratic story | Republican story | Non-Partisan story | Democratic story | Republican story,Control | Control | Control,False,ok,percent conversion and condition labels pass cached-data checks
Cohen1099,Cohen1099:Accounting:hyp1,-0.1002032789783031,-0.0141666666666671,5.0,-2.004065579566061,-0.2833333333333465,"female, upper class, no info | female, working class, no info | female, upper class, student loans | female, working class, student loans | female, upper class, no debt | female, working class, no debt | female, upper class, no info | female, working class, no info | female, upper class, student loans | female, working class, student loans | female, upper class, no debt | female, working class, no debt | female, upper class, no info | female, working class, no info | female, upper class, student loans | female, working class, student loans | female, upper class, no debt | female, working class, no debt","male, upper class, no info | male, working class, no info | male, upper class, student loans | male, working class, student loans | male, upper class, no debt | male, working class, no debt | male, upper class, no info | male, working class, no info | male, upper class, student loans | male, working class, student loans | male, upper class, no debt | male, working class, no debt | male, upper class, no info | male, working class, no info | male, upper class, student loans | male, working class, student loans | male, upper class, no debt | male, working class, no debt",False,ok,percent conversion and condition labels pass cached-data checks
Cohen1099,Cohen1099:Accounting:hyp2,0.0987200660611069,0.0424999999999995,5.0,1.9744013212221407,0.8499999999999952,"male, upper class, student loans | male, working class, student loans | female, upper class, student loans | female, working class, student loans | male, upper class, student loans | male, working class, student loans | female, upper class, student loans | female, working class, student loans","male, upper class, no debt | male, working class, no debt | female, upper class, no debt | female, working class, no debt | male, upper class, no debt | male, working class, no debt | female, upper class, no debt | female, working class, no debt",False,ok,percent conversion and condition labels pass cached-data checks
Cohen1099,Cohen1099:History:hyp1,-0.0249669049925955,-0.0533333333333319,5.0,-0.4993380998519148,-1.066666666666638,"female, upper class, no info | female, working class, no info | female, upper class, student loans | female, working class, student loans | female, upper class, no debt | female, working class, no debt | female, upper class, no info | female, working class, no info | female, upper class, student loans | female, working class, student loans | female, upper class, no debt | female, working class, no debt | female, upper class, no info | female, working class, no info | female, upper class, student loans | female, working class, student loans | female, upper class, no debt | female, working class, no debt","male, upper class, no info | male, working class, no info | male, upper class, student loans | male, working class, student loans | male, upper class, no debt | male, working class, no debt | male, upper class, no info | male, working class, no info | male, upper class, student loans | male, working class, student loans | male, upper class, no debt | male, working class, no debt | male, upper class, no info | male, working class, no info | male, upper class, student loans | male, working class, student loans | male, upper class, no debt | male, working class, no debt",False,ok,percent conversion and condition labels pass cached-data checks
Cohen1099,Cohen1099:Nursing:hyp1,0.5242028513727459,0.1927777777777781,5.0,10.484057027454918,3.855555555555557,"female, upper class, no info | female, working class, no info | female, upper class, student loans | female, working class, student loans | female, upper class, no debt | female, working class, no debt | female, upper class, no info | female, working class, no info | female, upper class, student loans | female, working class, student loans | female, upper class, no debt | female, working class, no debt | female, upper class, no info | female, working class, no info | female, upper class, student loans | female, working class, student loans | female, upper class, no debt | female, working class, no debt","male, upper class, no info | male, working class, no info | male, upper class, student loans | male, working class, student loans | male, upper class, no debt | male, working class, no debt | male, upper class, no info | male, working class, no info | male, upper class, student loans | male, working class, student loans | male, upper class, no debt | male, working class, no debt | male, upper class, no info | male, working class, no info | male, upper class, student loans | male, working class, student loans | male, upper class, no debt | male, working class, no debt",False,ok,percent conversion and condition labels pass cached-data checks
Cohen1099,Cohen1099:Nursing:hyp2,-0.1275076504590284,-0.0012500000000001,5.0,-2.550153009180567,-0.0249999999999972,"male, upper class, student loans | male, working class, student loans | female, upper class, student loans | female, working class, student loans | male, upper class, student loans | male, working class, student loans | female, upper class, student loans | female, working class, student loans","male, upper class, no debt | male, working class, no debt | female, upper class, no debt | female, working class, no debt | male, upper class, no debt | male, working class, no debt | female, upper class, no debt | female, working class, no debt",False,ok,percent conversion and condition labels pass cached-data checks
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,-0.00172215843858,0.0100000000000002,4.0,-0.0430539609645008,0.2500000000000058,Group 2,Group 1,True,sign_disagreement_not_implementation_error_by_itself,sign_disagreement_review
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,0.1089743589743599,-0.0133333333333398,4.0,2.724358974358998,-0.3333333333334964,Group 3,Group 1,True,sign_disagreement_not_implementation_error_by_itself,sign_disagreement_review
Enos700,Enos700:modern_racism1:hyp1,0.2808809179312868,-0.2825000000000006,4.0,7.022022948282169,-7.062500000000016,Surinamese | Mauritanian,Black,False,sign_disagreement_not_implementation_error_by_itself,sign_disagreement_review
