effect_id,planned_pairs,valid_paired_n,invalid_control_n,invalid_treatment_n,invalid_both_n
AnsonBRIEF60:blue_collar_positivity:hyp1,500,500,0,0,0
AnsonBRIEF60:economy_positivity:hyp1,500,500,0,0,0
Blair1131:Approve_Handling:hyp1,500,500,0,0,0
Blair1131:Approve_Handling:hyp2,500,500,0,0,0
Braman751:legitimacy:hyp1,500,500,0,0,0
Braman751:legitimacy:hyp2,500,500,0,0,0
Braman751:pass_legislation:hyp1,500,500,0,0,0
Braman751:scholar_credibility:hyp1,500,499,1,0,0
Braman751:scholar_credibility:hyp2,500,500,0,0,0
CalarcoS38:Approval:hyp1,500,500,0,0,0
CalarcoS38:Approval:hyp2,500,500,0,0,0
CalarcoS38:Approval:hyp3,500,500,0,0,0
Campbell1308:Gender Roles:hyp1,500,500,0,0,0
Campbell1308:Political Engagement:hyp1,500,500,0,0,0
Campbell1308:Political Responsiveness:hyp1,500,500,0,0,0
Cohen1099:Accounting:hyp1,500,500,0,0,0
Cohen1099:Accounting:hyp2,500,500,0,0,0
Cohen1099:History:hyp1,500,500,0,0,0
Cohen1099:Nursing:hyp1,500,500,0,0,0
Cohen1099:Nursing:hyp2,500,500,0,0,0
CorstangeBRIEF69:welcome_refugees:hyp1,500,500,0,0,0
CorstangeBRIEF69:welcome_refugees:hyp2,500,500,0,0,0
Enos700:modern_racism1:hyp1,500,500,0,0,0
FaheyS78:cancel culture:hyp1,500,500,0,0,0
FarrowS6:Disappointment:hyp1,500,500,0,0,0
Haaland874:Affirmative action: Assistance:hyp1,500,500,0,0,0
Haaland874:Affirmative action: Preference:hyp1,500,500,0,0,0
Haaland874:Racial Discrimination perception:hyp1,500,500,0,0,0
HankinsonS22:Clinic_support:hyp1,500,500,0,0,0
Howard823:Willingness_to_spend_on_optional_expense:hyp1,500,500,0,0,0
Howard823:Willingness_to_spend_on_optional_expense:hyp2,500,500,0,0,0
Howard823:financial_slack:hyp1,500,500,0,0,0
Howard823:financial_slack:hyp2,500,500,0,0,0
Iles1294:Confusing:hyp1,500,500,0,0,0
Iles1294:Confusing:hyp2,500,500,0,0,0
Iles1294:Confusing:hyp3,500,500,0,0,0
Iles1294:Frustrated:hyp1,500,500,0,0,0
Iles1294:Frustrated:hyp2,500,500,0,0,0
Iles1294:Frustrated:hyp3,500,500,0,0,0
Iles1294:collaborative:hyp1,500,500,0,0,0
Iles1294:collaborative:hyp2,500,500,0,0,0
