study_id,effect_id,outcome_type,population_type,selected_reason,deterministic_selection_key
Iles1294,Iles1294:Frustrated:hyp1,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,013fbeb4f58a6f82162962fe0036e18bcf0e35d3d9ad0af0d6b768c612e654e9
Merolla843,Merolla843:foreign_policy:hyp2,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,0510d0d55d53f67939ddc16617f8fabd08605b0477036a412af0fc3fd293358b
bucci1408,bucci1408:Rewarding:hyp1,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,05b1437ff7616e49098843218ff75b30973ff0d67802288b6a9ef964a80af175
Terman1029,Terman1029:perception of domestic human rights conditions:hyp1,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,07ea0662d7eeb044a75f34d040b168751f9858fe4910c16cdf8e9ab5d38435e3
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp2,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,095ca32b0d9f45f60a04c85720090b5698b0a165fe072db61cc4ee9752599b56
Iles1294,Iles1294:collaborative:hyp2,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,0bac3e656783a7e920e360b1b6e202e7552aa029fe8ae91e7cca866155f888d5
Schnabel903,Schnabel903:Masculine:hyp1,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,0e2bb8c2fbfff4403cc9e9d1fc3f79c7be0a91243c071ee8bb9c40cd72486538
McGinty730,McGinty730:treatment_support:hyp2,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,0e4e2dff8d21b7538be8829af090f8c55a05c1b93ffecd7c4097811b7ac3ca0f
Iles1294,Iles1294:Confusing:hyp1,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,115130fb39a8a233f7a6197247e3fa28af1a5a14c12a763279a26430c6873b09
Melin1066,Melin1066:Capable:hyp1,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,13d5822d48acc02ec305165c342bb67f0959662f161e3714944217fa753ea309
Silverman1035,Silverman1035:Terrorism_worry:hyp3,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,140269dea8b595a92585fbd00d640a06518c4e48a12a55251eedaa9250d24d13
Braman751,Braman751:legitimacy:hyp2,attitude,general_us_adult,seeded_metadata_sample_not_performance_based,156c07ebbb69d2448cc727bd712177e1d36af9df620cb8380d8e50db7fe1d541
