state_abbr,selected_n,selected_share,selected_source_weighted_share,selected_minus_selected_weighted_pp
CA,119,0.119,0.09569052702550848,2.330947297449151
TX,94,0.094,0.09389819080795594,0.010180919204405559
FL,68,0.068,0.0585627598606585,0.9437240139341503
IL,57,0.057,0.05273626250140465,0.4263737498595349
NY,53,0.053,0.05575907405326441,-0.2759074053264414
PA,47,0.047,0.07564333071131588,-2.8643330711315875
GA,39,0.039,0.035380379817957074,0.36196201820429263
NJ,29,0.029,0.027969434767951454,0.10305652320485477
OH,29,0.029,0.024469041465333182,0.4530958534666819
WA,26,0.026,0.026143386897404204,-0.014338689740420532
TN,25,0.025,0.024794920777615463,0.020507922238453824
MI,25,0.025,0.023783571187773907,0.1216428812226094
MD,23,0.023,0.028643667827845824,-0.5643667827845824
AZ,22,0.022,0.01921564220698955,0.278435779301045
IN,21,0.021,0.02131138330149455,-0.031138330149454996
MO,19,0.019,0.019766265872569952,-0.07662658725699524
NC,19,0.019,0.016985054500505675,0.2014945499494325
SC,19,0.019,0.020524778064951118,-0.15247780649511183
VA,18,0.018,0.022373300370828183,-0.4373300370828184
WI,17,0.017,0.020277559276323184,-0.32775592763231826
OR,17,0.017,0.01329924710641645,0.3700752893583551
MA,16,0.016,0.011186650185414091,0.4813349814585909
MN,15,0.015,0.02335093830767502,-0.835093830767502
LA,15,0.015,0.011855264636476008,0.31447353635239916
IA,14,0.014,0.01910888863917294,-0.510888863917294
KY,13,0.013,0.01459152713788066,-0.15915271378806606
CO,13,0.013,0.010680975390493314,0.23190246095066858
AR,12,0.012,0.013737498595347793,-0.17374985953477923
AL,11,0.011,0.010883245308461626,0.01167546915383736
CT,11,0.011,0.009321272053039667,0.16787279469603328
ID,9,0.009,0.007697494100460726,0.13025058995392735
NV,8,0.008,0.009141476570401168,-0.11414765704011678
OK,8,0.008,0.006315316327677267,0.16846836723227332
NE,7,0.007,0.006865939993257669,0.013406000674233073
WV,7,0.007,0.007124395999550511,-0.012439599955051117
MS,7,0.007,0.0065962467692999216,0.04037532307000786
ME,6,0.006,0.006006292841892347,-0.0006292841892347259
KS,5,0.005,0.0048881896842341835,0.011181031576581665
UT,5,0.005,0.010675356781660861,-0.5675356781660862
NM,5,0.005,0.010051691201258569,-0.5051691201258568
NH,4,0.004,0.0016968198674008315,0.23031801325991688
VT,3,0.003,0.002590178671760872,0.040982132823912804
WY,3,0.003,0.004242049668502079,-0.12420496685020786
AK,3,0.003,0.0013203730756264748,0.1679626924373525
DC,3,0.003,0.0026744578042476683,0.032554219575233176
DE,3,0.003,0.0037251376559163953,-0.07251376559163952
SD,2,0.002,0.0027643555455669176,-0.07643555455669176
RI,2,0.002,0.0022193504888189685,-0.021935048881896846
ND,2,0.002,0.0005899539274075739,0.14100460725924263
MT,1,0.001,0.0006461400157321048,0.03538599842678952
HI,1,0.001,0.0002247443532981234,0.07752556467018766
