study_id,alpha_minus_s,lambda_minus_s
AnsonBRIEF60,1.4312172717063372,-0.24821040544556394
Blair1131,1.525274317320241,-0.24208865486309322
Braman751,1.1722707319486891,-0.26065586495962595
CalarcoS38,0.9735412288136195,0.023892177913364766
Campbell1308,1.5017736192591224,-0.2420574533993875
Cohen1099,1.4497973706185592,-0.2425348004778824
CorstangeBRIEF69,1.4567292152491278,-0.24252032554301667
Enos700,1.2965964879994842,-0.24175199438082082
FaheyS78,1.4578406901205243,-0.24249446192153432
FarrowS6,1.5301321376131147,-0.2420978730631875
Haaland874,1.5337731156008931,-0.24158277216991936
HankinsonS22,1.8027851471651881,-0.2304197611589504
Howard823,1.5163872270908798,-0.2421434320024753
Iles1294,1.539521933465685,-0.2550443308556401
Kennedy1017,1.3064376676672573,-0.24964329737787844
KlarS44,1.5649330294937296,-0.24223049521777454
McGinty730,1.5512533735358236,-0.2383501942282755
Melin1066,0.9258371902982062,-0.2755519662247131
Merolla843,1.4175305133281468,-0.24625114282474012
Mezzapelle1439,1.4261882761265037,-0.2427981714309319
MunschS68,1.05879655596425,-0.24516601717991182
SchaadS62,1.7428911501945246,-0.24586283238262727
Schnabel903,1.460431642122906,-0.24247208754654215
ShannonS2,1.669749558104905,-0.24953703898169993
Silverman1035,1.535623713567083,-0.24622861105211477
Stoker1063,2.0272162440186614,-0.32463545752755324
Terman1029,1.5315661474376179,-0.24538572884654666
WallaceS9,1.1209521434785323,-0.2212447299320725
Williamson859,1.5215447495613792,-0.24289062840939438
bolsenM6,1.5203163525586343,-0.24334960641138992
bucci1408,1.1795982498039757,-0.26032160920545977
