study_id,beta_B_minus_s,beta_W_minus_s
AnsonBRIEF60,-0.23667523315047323,-0.2701140142018689
Blair1131,-0.23663227209203214,-0.2525033404362644
Braman751,-0.2501139299561895,-0.2828400647976594
CalarcoS38,0.04063264821023312,-0.0035106427756792487
Campbell1308,-0.23516182194885055,-0.2551801030514067
Cohen1099,-0.23655720956090281,-0.2539237279262944
CorstangeBRIEF69,-0.23649832063795742,-0.2539958972612014
Enos700,-0.23536526017978726,-0.2539237279262943
FaheyS78,-0.2364974199199006,-0.2539237279262945
FarrowS6,-0.23589208334236536,-0.2539237279262945
Haaland874,-0.2352474864286224,-0.25364290683647867
HankinsonS22,-0.217806035243302,-0.2539237279262945
Howard823,-0.23604735368218152,-0.2537648713063737
Iles1294,-0.23729595910028692,-0.2931671979830709
Kennedy1017,-0.2404718129252795,-0.2678262717679747
KlarS44,-0.23586344764098643,-0.2543782559299488
McGinty730,-0.23242303369336526,-0.2514153949682378
Melin1066,-0.2749309964260257,-0.2767187224224038
Merolla843,-0.23751617189025417,-0.2629241142144549
Mezzapelle1439,-0.23699994957197798,-0.25383305280896346
MunschS68,-0.2405690337171487,-0.25392372792629453
SchaadS62,-0.2400802308850572,-0.25692043831016537
Schnabel903,-0.23645205585580845,-0.2539415205942668
ShannonS2,-0.24254981791221267,-0.2629360261648838
Silverman1035,-0.23890848789059366,-0.2605650752447117
Stoker1063,-0.36857180259294264,-0.2566308937132208
Terman1029,-0.23761085783819896,-0.2604543975026587
WallaceS9,-0.20008808603196657,-0.25939518736953043
Williamson859,-0.23668025330622872,-0.2547560827797383
bolsenM6,-0.23818449593514734,-0.25325290063564015
bucci1408,-0.26403068042701766,-0.2539237279262946
