study_id,beta_B_minus_s,beta_W_minus_s
AnsonBRIEF60,-0.00582150018867561,-0.08295739767400416
Blair1131,-0.004676158696499682,-0.06147993771298536
Braman751,-0.03474780614152291,-0.08739874588809035
CalarcoS38,0.1495346265973797,0.012345502411152563
Campbell1308,-0.005867481233004213,-0.06883176646921174
Cohen1099,-0.007498017801205772,-0.06750593496113673
CorstangeBRIEF69,-0.008271842355423014,-0.06730066091424604
Enos700,0.010825694805582176,-0.048575674207445886
FaheyS78,-0.008747541294530335,-0.06746612100915848
FarrowS6,-0.01104654680993515,-0.07111474176246214
Haaland874,-0.007146430368784062,-0.06763861737140912
HankinsonS22,0.021855839193848755,-0.04670240481296814
Howard823,-0.010083472854472066,-0.06953488424094906
Iles1294,-0.03847611828677707,-0.11845917580603592
Kennedy1017,-0.015990886786901033,-0.07434271016615775
KlarS44,-0.012116917060423612,-0.07355492878227651
McGinty730,0.034160838542873204,-0.00418918822105922
Melin1066,-0.053867528752804594,-0.10178885572983705
Merolla843,-0.018117745212529575,-0.08745350801419992
Mezzapelle1439,-0.00925244216453838,-0.06690694865897698
MunschS68,-0.0010702786694154396,-0.05833240862374491
SchaadS62,-0.022946280935591694,-0.08239235182929398
Schnabel903,-0.009253308839820442,-0.06807472979322732
ShannonS2,-0.03163479400235325,-0.0958865119036277
Silverman1035,-0.004056906427685409,-0.06431337985985391
Stoker1063,-0.16653255261637928,-0.1822819462328603
Terman1029,-0.017817626580850596,-0.08142633417525948
WallaceS9,0.06113843087986073,-0.011159236703971006
Williamson859,-0.013018510126770388,-0.07305988863293177
bolsenM6,-0.0035929078309125716,-0.05955502943683287
bucci1408,-0.08132022460178008,-0.12065722749580593
