condition,outcome,n,native_g_ate,target_ate,preprojection_ate,achieved_ate,absolute_error,n_responses_changed_by_projection,fraction_changed
Consensus,trust_multidimensional,1000,4.613833333333332,4.913514788513529,4.913514788513524,4.913833333333329,0.00031854481979998184,809,0.809
Consensus,trust_post,1000,3.357999999999997,3.657681455180195,3.657681455180203,3.6580000000000084,0.0003185448198133045,300,0.3
Consensus,distrust_post,1000,-2.895000000000003,-2.5953185448198055,-2.595318544819804,-2.594999999999999,0.0003185448198066432,300,0.3
Consensus,funding_perceptions,1000,-0.10000000000000142,0.19968145518019642,0.19968145518019753,0.20000000000000284,0.00031854481980642113,300,0.3
Consensus,policy_role_mean,1000,2.0245000000000033,2.3241814551802014,2.324181455180195,2.3245000000000005,0.00031854481979909366,580,0.58
Consensus,inst_trust_mean,1000,1.4500000000000028,1.7496814551802007,1.7496814551801947,1.750000000000007,0.00031854481980642113,772,0.772
Consensus,belief_post,1000,3.9950000000000045,4.294681455180202,4.294681455180196,4.295000000000002,0.00031854481979998184,300,0.3
Consensus,concern_mean,1000,2.0066666666666677,2.3063481218468658,2.3063481218468667,2.306666666666672,0.0003185448198061991,502,0.502
Consensus,policy_general,1000,2.1869999999999976,2.4866814551801957,2.4866814551801895,2.4869999999999948,0.00031854481979909366,300,0.3
Consensus,policy_specific_mean,1000,1.3298571428571222,1.62953859803732,1.6295385980373283,1.6298571428571336,0.00031854481981352656,845,0.845
Consensus,behavior_mean,1000,0.08249999999999602,0.38218145518019386,0.3821814551802021,0.3825000000000003,0.00031854481980642113,860,0.86
Consensus,donation_ams,1000,-0.04300000000000015,-0.013031854481980389,-0.013031854481980298,-0.013000000000000123,3.1854481980266025e-05,30,0.03
Consensus,newsletter_signup,1000,-0.02100000000000002,-0.01800318544819804,-0.01800318544819801,-0.018000000000000016,3.185448198023133e-06,3,0.003
Corporate reliance,trust_multidimensional,1000,2.771500000000003,3.0711814551802012,3.071181455180195,3.0715000000000003,0.00031854481979909366,804,0.804
Corporate reliance,trust_post,1000,3.753000000000007,4.052681455180206,4.052681455180213,4.053000000000004,0.0003185448197982055,300,0.3
Corporate reliance,distrust_post,1000,-3.649000000000001,-3.3493185448198033,-3.349318544819802,-3.349,0.00031854481980309046,300,0.3
Corporate reliance,funding_perceptions,1000,1.0750000000000028,1.3746814551802007,1.3746814551801947,1.375,0.0003185448197993157,300,0.3
Corporate reliance,policy_role_mean,1000,1.10775000000001,1.4074314551802078,1.4074314551802019,1.4077500000000072,0.0003185448197993157,627,0.627
Corporate reliance,inst_trust_mean,1000,1.3629999999999995,1.6626814551801974,1.6626814551801985,1.663000000000011,0.00031854481981352656,744,0.744
Corporate reliance,belief_post,1000,1.7480000000000047,2.0476814551802027,2.0476814551801965,2.048000000000002,0.00031854481979909366,300,0.3
Corporate reliance,concern_mean,1000,1.6966666666666725,1.9963481218468704,1.9963481218468644,1.9966666666666697,0.0003185448197993157,497,0.497
Corporate reliance,policy_general,1000,1.2720000000000056,1.5716814551802034,1.5716814551801974,1.5720000000000027,0.0003185448197993157,300,0.3
Corporate reliance,policy_specific_mean,1000,0.1737142857142686,0.47339574089446645,0.47339574089446046,0.47371428571426577,0.0003185448197993157,850,0.85
Corporate reliance,behavior_mean,1000,0.4971666666666721,0.7968481218468699,0.7968481218468639,0.7971666666666692,0.0003185448197993157,852,0.852
Corporate reliance,donation_ams,1000,0.08899999999999997,0.11896814551801976,0.11896814551801982,0.119,3.185448198023133e-05,30,0.03
Corporate reliance,newsletter_signup,1000,0.032999999999999974,0.03599681455180195,0.03599681455180198,0.035999999999999976,3.185448198023133e-06,3,0.003
Extreme weather predictions,trust_multidimensional,1000,3.4697500000000048,3.769431455180203,3.7694314551801966,3.769750000000002,0.00031854481979909366,832,0.832
Extreme weather predictions,trust_post,1000,4.292999999999999,4.592681455180196,4.592681455180191,4.592999999999996,0.00031854481979998184,300,0.3
Extreme weather predictions,distrust_post,1000,-4.107000000000003,-3.8073185448198053,-3.807318544819804,-3.807000000000002,0.00031854481980309046,300,0.3
Extreme weather predictions,funding_perceptions,1000,1.8049999999999997,2.104681455180198,2.1046814551801987,2.105000000000004,0.0003185448198061991,300,0.3
Extreme weather predictions,policy_role_mean,1000,2.3004999999999995,2.6001814551801976,2.6001814551802056,2.600500000000011,0.0003185448198133045,610,0.61
Extreme weather predictions,inst_trust_mean,1000,2.4964000000000013,2.7960814551801993,2.7960814551802002,2.7964000000000055,0.0003185448198061991,769,0.769
Extreme weather predictions,belief_post,1000,0.3680000000000092,0.667681455180207,0.6676814551802011,0.6680000000000064,0.0003185448197993157,300,0.3
Extreme weather predictions,concern_mean,1000,1.330999999999996,1.6306814551801938,1.630681455180202,1.6310000000000073,0.00031854481981352656,508,0.508
Extreme weather predictions,policy_general,1000,1.6500000000000057,1.9496814551802035,1.9496814551801975,1.9500000000000028,0.0003185448197993157,300,0.3
Extreme weather predictions,policy_specific_mean,1000,-0.15557142857143447,0.14411002660876338,0.14411002660875738,0.1444285714285627,0.0003185448197993157,856,0.856
Extreme weather predictions,behavior_mean,1000,0.07916666666666572,0.37884812184686356,0.37884812184686467,0.37916666666667,0.00031854481980642113,838,0.838
Extreme weather predictions,donation_ams,1000,0.17300000000000004,0.20296814551801987,0.20296814551801967,0.20299999999999985,3.185448197998153e-05,30,0.03
Extreme weather predictions,newsletter_signup,1000,0.023999999999999966,0.02699681455180195,0.026996814551801973,0.02699999999999997,3.1854481980196636e-06,3,0.003
