donor_key,hash_hex,hash_priority,assigned_variant,assigned_filler,survey_code
LP0634,00a7e741185eda1be949beb98e5db90d3d6022223784d2ca213c780a9689e58c,0,1,neckties,control neckties
LP0183,00fad5b8dc93c3f8755fce6fe64352e665dbac5e9e0fb922f26ab5cd64877553,1,2,baseball,control baseball
LP0245,01e4919a2dd15574f9485c58750259a0cafa788e97132bb9542bc1f3669a56dc,2,3,dances,control dances
LP0727,023772907f5b294ec1933c6be0f8e22ebd66ed1b3916a22f1b4ee2a78e0802af,3,1,neckties,control neckties
LP0471,02d700c1e363eb6172d8082610b8ae4db36e51130a1d7a093f1415ca1382d352,4,2,baseball,control baseball
LP0019,02dfd0e1702e0051fe67942a8f146048b667b71381be9cdf3c6a4c5daa6ee935,5,3,dances,control dances
LP0949,03628c1cdc8c74942953b2db7d92cb51a5df3144a571919b9b46570a881a59f3,6,1,neckties,control neckties
LP0269,038eae543fb3e859a0f07ba8ba6694c4af30e5d9c60866b705bc1be45d04b454,7,2,baseball,control baseball
LP0404,03d7c9d5ad7aeccc2f878c66c8e67455e746c98584b83eb66b19b0116de06355,8,3,dances,control dances
LP0229,03ffa070ca4057a732461c6679ed6fb1f38b15d6621ce5d1bab8aecfdb9573bb,9,1,neckties,control neckties
LP0600,043af9cf4c8de7223659f2f988f32d92fd680b839eeb41ab0491d5b966f8ea04,10,2,baseball,control baseball
LP0014,04636adf5f0275771572908d95402b32db1ab93e98ad9a54c23fd038574de8c3,11,3,dances,control dances
LP0664,04ce05d9a91efcce0e514fe4a1796748c3a73da0e5e6f7bc960b1dcdde90e678,12,1,neckties,control neckties
LP0238,04d7acbee2a4543a4c1ba44fead389c60d3678100144fe4a2ce79f7424934597,13,2,baseball,control baseball
LP0349,04daeb28344a837f898288460461cd41050270cf2e3306739d8507366c44cbfb,14,3,dances,control dances
LP0926,05884df31099202bb0af6bd1c1a0a8c98440682e8e28866c216906d930bee0b7,15,1,neckties,control neckties
LP0485,05cf977d5cf4edee3a0a18332b3819f2481e59c0364ba0f1d21041a58b09ea6a,16,2,baseball,control baseball
LP0468,068d3a304c142db61dbae4688fc901ee7694b1ffee199ec23b7b087346b7b2b4,17,3,dances,control dances
LP0620,06a0f378567056da4d520027d138e73eb69d6af420e7b4266c652bba9778616c,18,1,neckties,control neckties
LP0672,06fe62efc2a1c631cdcb8031e1acb6441037b62e463fcba88f143360412870ea,19,2,baseball,control baseball
LP0283,070ba54734a3fc7f2d80d44284f753672ec989ca63101abfe5ed3d2bfb4b5551,20,3,dances,control dances
