request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
G|LP0001|Consensus|stage_a|replicate_1|fmt_v2,G-e114080bd04115e593cda37568a6edb7209a3b2d,G,target,LP0001,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,c4987cfccb803db6837d972b07cc9b2d8e03d122e0372f0f184c71b5e5b57417,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,308880896,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0001|Consensus|stage_a|replicate_1|fmt_v2,c4987cfccb803db6837d972b07cc9b2d8e03d122e0372f0f184c71b5e5b57417,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0002|Consensus|stage_a|replicate_1|fmt_v2,G-a1e1b992d6f34af9e0b0cc0b215a3f2b422b400a,G,target,LP0002,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,555ba624b3ab7a0617d04f9725aa894ec32c9637a40b03ab50828e669ef0ae7c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,448183841,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0002|Consensus|stage_a|replicate_1|fmt_v2,555ba624b3ab7a0617d04f9725aa894ec32c9637a40b03ab50828e669ef0ae7c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0003|Consensus|stage_a|replicate_1|fmt_v2,G-6122496cd8c06200fb74b977eaed5537f0016f33,G,target,LP0003,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,041ee4fb8f5f211650b3831b0016b26424e8d08e0095708a16f2416c9ea2960c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,453309659,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0003|Consensus|stage_a|replicate_1|fmt_v2,041ee4fb8f5f211650b3831b0016b26424e8d08e0095708a16f2416c9ea2960c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0004|Consensus|stage_a|replicate_1|fmt_v2,G-54337bae4b257a0b45772145c09778a9322f338d,G,target,LP0004,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,e4c03e159f07098a08bdcac27b854af7a3ea73499c60d32cabea5cfd62c4f8fc,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1938583912,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0004|Consensus|stage_a|replicate_1|fmt_v2,e4c03e159f07098a08bdcac27b854af7a3ea73499c60d32cabea5cfd62c4f8fc,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0005|Consensus|stage_a|replicate_1|fmt_v2,G-9064823d76ab1542ed88d08e592137305379754e,G,target,LP0005,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,659701f2a19940379adb8a571e77886a1d247949ff0bd06f02300bc8ac23a0f0,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,393484735,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0005|Consensus|stage_a|replicate_1|fmt_v2,659701f2a19940379adb8a571e77886a1d247949ff0bd06f02300bc8ac23a0f0,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0006|Consensus|stage_a|replicate_1|fmt_v2,G-448ee3e98bbde993807c3233e946a18f592cc0ff,G,target,LP0006,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,17c268fa2273786c797a6c28826ed2aec46e904d1856fd9082bd52d2952b07c0,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,349942119,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0006|Consensus|stage_a|replicate_1|fmt_v2,17c268fa2273786c797a6c28826ed2aec46e904d1856fd9082bd52d2952b07c0,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0007|Consensus|stage_a|replicate_1|fmt_v2,G-f710c0a8e453a3ab0816e3992fbb3e2f4a52267c,G,target,LP0007,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,2bddcc55fa1816fa80f20886efb30671157f23819697c6c58c925364ab70ce53,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1383408896,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0007|Consensus|stage_a|replicate_1|fmt_v2,2bddcc55fa1816fa80f20886efb30671157f23819697c6c58c925364ab70ce53,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0008|Consensus|stage_a|replicate_1|fmt_v2,G-6bb735752afd07d81e7c02b8d0cf1d97130fe804,G,target,LP0008,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,c9d1ee431059242ee0691868e1b3603d9dadbad5bf43c7d832e943d16d8ef442,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,40596164,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0008|Consensus|stage_a|replicate_1|fmt_v2,c9d1ee431059242ee0691868e1b3603d9dadbad5bf43c7d832e943d16d8ef442,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0009|Consensus|stage_a|replicate_1|fmt_v2,G-50973bf3816344af60ec262981283a8a9d82db22,G,target,LP0009,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,7e1d84441df7dc7555b93feb0a1717841d2ff96081674f937ab42f6573604775,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,579976343,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0009|Consensus|stage_a|replicate_1|fmt_v2,7e1d84441df7dc7555b93feb0a1717841d2ff96081674f937ab42f6573604775,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0010|Consensus|stage_a|replicate_1|fmt_v2,G-510cda758de9e63edfc5c2a1caa39c0704222dd8,G,target,LP0010,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,26774156a459856cca1a2b3c0313fd49e6ed4fab0f4dfafa78583e1c2b0a03dc,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,805542698,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0010|Consensus|stage_a|replicate_1|fmt_v2,26774156a459856cca1a2b3c0313fd49e6ed4fab0f4dfafa78583e1c2b0a03dc,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
